Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
11-JUN-2025,56639.85,56782.5,56399.4,56459.75,135259963,5477.92
12-JUN-2025,56480.9,56611.05,55968.5,56082.55,135273988,6460.33
13-JUN-2025,55149.3,55688,55149.3,55527.35,142013350,6042.45
16-JUN-2025,55554.1,55999.85,55381.45,55944.9,107684846,5492.66
17-JUN-2025,55975,56067.3,55643.95,55714.15,106308600,5617.54
18-JUN-2025,55544.95,55933.6,55511.8,55828.75,116387466,7214
19-JUN-2025,55784.85,55942.45,55475.45,55577.45,131337052,6875.2
20-JUN-2025,55566.7,56328.2,55566.4,56252.85,161498033,10192.14
23-JUN-2025,55832.35,56233.55,55779.25,56059.35,86815983,4154.17
24-JUN-2025,56529.45,56862,56276.15,56461.9,132949497,8261.84
25-JUN-2025,56564.5,56681.4,56420.65,56621.15,98673656,6054.77
26-JUN-2025,56693.55,57263.45,56558.35,57206.7,176543280,13209.6
27-JUN-2025,57234.7,57475.4,56993.85,57443.9,237982623,14041.67
30-JUN-2025,57529.95,57614.5,57193.8,57312.75,182974016,7876.79
01-JUL-2025,57375.8,57533.85,57150.35,57459.45,283276197,8734.24
02-JUL-2025,57558.2,57628.4,56833.8,56999.2,169590882,8026.46
03-JUL-2025,57050.4,57193.25,56764.1,56791.95,149891510,7232.62
04-JUL-2025,56825.25,57075.1,56623.6,57031.9,93858205,3871.5
07-JUL-2025,56938.7,57152.2,56838.55,56949.2,103275989,4714
08-JUL-2025,56942.55,57303.3,56923.05,57256.3,105496181,6733.82
09-JUL-2025,57199.75,57290.65,57037.9,57213.55,91106919,5469.02
10-JUL-2025,57339.75,57363.7,56886.6,56956,101997889,6552.97
11-JUL-2025,56843.45,57091.05,56607.75,56754.7,95543477,5114.03
14-JUL-2025,56780.75,56896.3,56594.25,56765.35,123043716,5307.24
15-JUL-2025,56709.2,57134.95,56707.8,57006.65,124577638,5808.52
16-JUL-2025,57111.25,57276.55,56937.6,57168.95,161253321,6912.99
17-JUL-2025,57231.95,57262.85,56780.15,56828.8,129763690,8491.69
18-JUL-2025,56524.25,56705.15,56204.85,56283,141249347,10339.98
21-JUL-2025,56558.9,56983.45,56255.7,56952.75,133656637,9301.52
22-JUL-2025,57253.35,57286.15,56692,56756,132755588,6922.17
23-JUL-2025,56918.15,57249,56715.8,57210.45,129781223,7142.4
24-JUL-2025,57316.6,57316.6,56850.9,57066.05,179807625,7304.96
25-JUL-2025,57170.7,57170.7,56439.4,56528.9,125071034,5848.19
28-JUL-2025,56215.1,56578.4,55997.45,56084.9,145685401,8419.46
29-JUL-2025,55881.8,56296.4,55843.25,56222,145111592,9195.07
